Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
15/08/2009,Chelsea,Hull,28,27,25000000,3318181
15/08/2009,Everton,Arsenal,26,25,10500000,11181818
15/08/2009,Portsmouth,Fulham,28,29,6500000,3863636
15/08/2009,Stoke,Burnley,28,28,2909090,1931818
15/08/2009,Wolves,West Ham,24,26,2022727,4409090
16/08/2009,Man United,Birmingham,25,27,16045454,3720909
16/08/2009,Tottenham,Liverpool,24,25,12454545,20409090
18/08/2009,Sunderland,Chelsea,24,28,6363636,24454545
18/08/2009,Wigan,Wolves,27,24,227272,2295454
19/08/2009,Birmingham,Portsmouth,26,27,3607272,6181818
19/08/2009,Burnley,Man United,27,26,1863636,15000000
19/08/2009,Hull,Tottenham,27,24,3227272,12636363
19/08/2009,Liverpool,Stoke,25,28,19568181,2745454
22/08/2009,Arsenal,Portsmouth,25,28,10090909,6227272
22/08/2009,Birmingham,Stoke,28,28,3384545,2863636
22/08/2009,Hull,Bolton,27,27,3590909,4409090
22/08/2009,Man City,Wolves,26,24,14909090,2295454
22/08/2009,Sunderland,Blackburn,25,26,6818181,3772727
22/08/2009,Wigan,Man United,26,26,0,16136363
23/08/2009,Burnley,Everton,27,26,1863636,9318181
23/08/2009,Fulham,Chelsea,29,28,4409090,23363636
23/08/2009,West Ham,Tottenham,24,25,4500000,11727272
24/08/2009,Liverpool,Aston Villa,25,27,20727272,8618181
29/08/2009,Blackburn,West Ham,27,24,4181818,4500000
29/08/2009,Bolton,Liverpool,27,26,4090909,19818181
29/08/2009,Chelsea,Burnley,29,27,26045454,1863636
29/08/2009,Man United,Arsenal,26,25,15681818,11136363
29/08/2009,Stoke,Sunderland,28,25,2727272,6818181
29/08/2009,Tottenham,Birmingham,25,28,11727272,3589090
29/08/2009,Wolves,Hull,24,26,2590909,3500000
30/08/2009,Aston Villa,Fulham,26,29,8127272,4227272
30/08/2009,Everton,Wigan,27,27,8954545,0
30/08/2009,Portsmouth,Man City,27,26,4954545,14272727
12/09/2009,Blackburn,Wolves,28,24,4272727,2704545
12/09/2009,Liverpool,Burnley,26,27,19636363,1863636
12/09/2009,Man City,Arsenal,26,24,12818181,9500000
12/09/2009,Portsmouth,Bolton,27,26,2681818,3227272
12/09/2009,Stoke,Chelsea,28,27,3227272,21772727
12/09/2009,Sunderland,Hull,24,27,7090909,2954545
12/09/2009,Tottenham,Man United,26,27,11090909,17772727
12/09/2009,Wigan,West Ham,26,25,0,3772727
13/09/2009,Birmingham,Aston Villa,27,27,3975454,11436363
13/09/2009,Fulham,Everton,27,27,4113636,8136363
19/09/2009,Arsenal,Wigan,24,26,7363636,0
19/09/2009,Aston Villa,Portsmouth,27,27,12345454,2681818
19/09/2009,Bolton,Stoke,27,28,3272727,3409090
19/09/2009,Burnley,Sunderland,27,25,1863636,7000000
19/09/2009,Hull,Birmingham,26,27,3272727,4140909
19/09/2009,West Ham,Liverpool,25,26,4590909,20727272
20/09/2009,Chelsea,Tottenham,29,25,26818181,11090909
20/09/2009,Everton,Blackburn,26,28,9909090,4272727
